id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
59,nói,"[{""sounds"":[""n""],""id"":7,""letters"":[""n""],""usageCount"":1547},{""sounds"":[""ɔ""],""id"":28,""letters"":[""o""],""usageCount"":588},{""sounds"":[""∅""],""id"":29,""letters"":[""◌́""],""usageCount"":1935},{""sounds"":[""j""],""id"":12,""letters"":[""i""],""usageCount"":862}]",88,VERB,,,
60,còn,"[{""sounds"":[""k""],""id"":6,""letters"":[""c""],""usageCount"":2245},{""sounds"":[""ɔ""],""id"":28,""letters"":[""o""],""usageCount"":588},{""sounds"":[""∅""],""id"":24,""letters"":[""◌̀""],""usageCount"":2252},{""sounds"":[""n""],""id"":7,""letters"":[""n""],""usageCount"":1547}]",87,ADVERB,,,
61,đâu,"[{""sounds"":[""ɗ""],""id"":32,""letters"":[""đ""],""usageCount"":916},{""sounds"":[""ɤ̆""],""id"":43,""letters"":[""â""],""usageCount"":568},{""sounds"":[""u""],""id"":30,""letters"":[""u""],""usageCount"":1202}]",87,ADVERB,,,
62,được,"[{""sounds"":[""ɗ""],""id"":32,""letters"":[""đ""],""usageCount"":916},{""sounds"":[""ɯ""],""id"":42,""letters"":[""ư""],""usageCount"":752},{""sounds"":[""ə""],""id"":34,""letters"":[""ơ""],""usageCount"":861},{""sounds"":[""∅""],""id"":33,""letters"":[""◌̣""],""usageCount"":1293},{""sounds"":[""k""],""id"":6,""letters"":[""c""],""usageCount"":2245}]",152,,,,
63,cái,"[{""sounds"":[""k""],""id"":6,""letters"":[""c""],""usageCount"":2245},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""∅""],""id"":29,""letters"":[""◌́""],""usageCount"":1935},{""sounds"":[""j""],""id"":12,""letters"":[""i""],""usageCount"":862}]",87,NOUN,,,
64,trên,"[{""sounds"":[""tɕ""],""id"":39,""letters"":[""t"",""r""],""usageCount"":210},{""sounds"":[""e""],""id"":44,""letters"":[""ê""],""usageCount"":200},{""sounds"":[""n""],""id"":7,""letters"":[""n""],""usageCount"":1547}]",86,PREPOSITION,,,
65,bé,"[{""sounds"":[""ɓ""],""id"":15,""letters"":[""b""],""usageCount"":638},{""sounds"":[""ɛ""],""id"":20,""letters"":[""e""],""usageCount"":498},{""sounds"":[""∅""],""id"":29,""letters"":[""◌́""],""usageCount"":1935}]",85,ADJECTIVE,,,
66,với,"[{""sounds"":[""v""],""id"":23,""letters"":[""v""],""usageCount"":683},{""sounds"":[""ə""],""id"":34,""letters"":[""ơ""],""usageCount"":861},{""sounds"":[""∅""],""id"":29,""letters"":[""◌́""],""usageCount"":1935},{""sounds"":[""j""],""id"":12,""letters"":[""i""],""usageCount"":862}]",91,PREPOSITION,,,
67,cây,"[{""sounds"":[""k""],""id"":6,""letters"":[""c""],""usageCount"":2245},{""sounds"":[""ɤ̆""],""id"":43,""letters"":[""â""],""usageCount"":568},{""sounds"":[""j""],""id"":21,""letters"":[""y""],""usageCount"":506}]",87,NOUN,,,
68,nào,"[{""sounds"":[""n""],""id"":7,""letters"":[""n""],""usageCount"":1547},{""sounds"":[""a""],""id"":3,""letters"":[""à""],""usageCount"":601},{""sounds"":[""ɔː""],""id"":5,""letters"":[""o""],""usageCount"":811}]",84,,,,
69,bánh,"[{""sounds"":[""ɓ""],""id"":15,""letters"":[""b""],""usageCount"":638},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""∅""],""id"":29,""letters"":[""◌́""],""usageCount"":1935},{""sounds"":[""ɲ""],""id"":2,""letters"":[""n"",""h""],""usageCount"":821}]",82,NOUN,,,
70,ngày,"[{""sounds"":[""ŋ""],""id"":36,""letters"":[""n"",""g""],""usageCount"":1386},{""sounds"":[""a""],""id"":3,""letters"":[""à""],""usageCount"":601},{""sounds"":[""j""],""id"":21,""letters"":[""y""],""usageCount"":506}]",81,NOUN,,,
71,ơi,"[{""sounds"":[""ə""],""id"":34,""letters"":[""ơ""],""usageCount"":861},{""sounds"":[""i""],""id"":10,""letters"":[""i""],""usageCount"":1424}]",80,,,,
72,nhìn,"[{""sounds"":[""ɲ""],""id"":2,""letters"":[""n"",""h""],""usageCount"":821},{""sounds"":[""i""],""id"":10,""letters"":[""i""],""usageCount"":1424},{""sounds"":[""∅""],""id"":24,""letters"":[""◌̀""],""usageCount"":2252},{""sounds"":[""n""],""id"":7,""letters"":[""n""],""usageCount"":1547}]",79,VERB,,,
73,cún,"[{""sounds"":[""k""],""id"":6,""letters"":[""c""],""usageCount"":2245},{""sounds"":[""u""],""id"":30,""letters"":[""u""],""usageCount"":1202},{""sounds"":[""∅""],""id"":29,""letters"":[""◌́""],""usageCount"":1935},{""sounds"":[""n""],""id"":7,""letters"":[""n""],""usageCount"":1547}]",78,NOUN,,,
74,màu,"[{""sounds"":[""m""],""id"":17,""letters"":[""m""],""usageCount"":1292},{""sounds"":[""a""],""id"":3,""letters"":[""à""],""usageCount"":601},{""sounds"":[""w""],""id"":16,""letters"":[""u""],""usageCount"":205}]",76,NOUN,,,
75,gà,"[{""sounds"":[""ɣ""],""id"":46,""letters"":[""g""],""usageCount"":152},{""sounds"":[""a""],""id"":3,""letters"":[""à""],""usageCount"":601}]",76,NOUN,,,
76,gì,"[{""sounds"":[""ɣ""],""id"":46,""letters"":[""g""],""usageCount"":152},{""sounds"":[""i""],""id"":10,""letters"":[""i""],""usageCount"":1424},{""sounds"":[""∅""],""id"":24,""letters"":[""◌̀""],""usageCount"":2252}]",76,,,,
77,tìm,"[{""sounds"":[""t""],""id"":11,""letters"":[""t""],""usageCount"":1082},{""sounds"":[""i""],""id"":10,""letters"":[""i""],""usageCount"":1424},{""sounds"":[""∅""],""id"":24,""letters"":[""◌̀""],""usageCount"":2252},{""sounds"":[""m""],""id"":17,""letters"":[""m""],""usageCount"":1292}]",73,VERB,,,
78,mà,"[{""sounds"":[""m""],""id"":17,""letters"":[""m""],""usageCount"":1292},{""sounds"":[""a""],""id"":3,""letters"":[""à""],""usageCount"":601}]",67,,,,
79,thật,"[{""sounds"":[""tʰ""],""id"":38,""letters"":[""t"",""h""],""usageCount"":297},{""sounds"":[""ɤ̆""],""id"":43,""letters"":[""â""],""usageCount"":568},{""sounds"":[""t""],""id"":11,""letters"":[""t""],""usageCount"":1082}]",65,ADJECTIVE,,,
80,rùa,"[{""sounds"":[""z""],""id"":8,""letters"":[""r""],""usageCount"":412},{""sounds"":[""u""],""id"":30,""letters"":[""u""],""usageCount"":1202},{""sounds"":[""∅""],""id"":24,""letters"":[""◌̀""],""usageCount"":2252},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574}]",63,NOUN,,,
