id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
30,dalawa,"[{""sounds"":[""d""],""id"":15,""letters"":[""d""],""usageCount"":464},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""l""],""id"":16,""letters"":[""l""],""usageCount"":997},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""w""],""id"":19,""letters"":[""w""],""usageCount"":278},{""sounds"":[""ɑː""],""id"":27,""letters"":[""a""],""usageCount"":1299}]",9,NUMBER,,,
31,isa,"[{""sounds"":[""ɪ""],""id"":14,""letters"":[""i""],""usageCount"":1804},{""sounds"":[""s""],""id"":6,""letters"":[""s""],""usageCount"":2248},{""sounds"":[""ɑː""],""id"":27,""letters"":[""a""],""usageCount"":1299}]",21,NUMBER,,,
32,malaki,"[{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438}]",9,ADJECTIVE,PERFECT,,
33,maliit,"[{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438}]",17,ADJECTIVE,PERFECT,,
34,natatakot,"[{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438}]",6,ADJECTIVE,PERFECT,,
35,anim,"[{""sounds"":[""ɑː""],""id"":27,""letters"":[""a""],""usageCount"":1299},{""sounds"":[""n""],""id"":5,""letters"":[""n""],""usageCount"":2973},{""sounds"":[""ɪ""],""id"":14,""letters"":[""i""],""usageCount"":1804},{""sounds"":[""m""],""id"":18,""letters"":[""m""],""usageCount"":880}]",6,NUMBER,,,
36,kami,"[{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438}]",26,,PERFECT,,
37,kong,"[{""sounds"":[""k""],""id"":17,""letters"":[""k""],""usageCount"":1343},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1500},{""sounds"":[""ŋ""],""id"":23,""letters"":[""n"",""g""],""usageCount"":2652}]",42,,PERFECT,,
38,maging,"[{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438}]",23,VERB,PHONEMIC,,
39,tatlo,"[{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1522},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1522},{""sounds"":[""l""],""id"":16,""letters"":[""l""],""usageCount"":997},{""sounds"":[""ɔː""],""id"":31,""letters"":[""o""],""usageCount"":189}]",4,NUMBER,,,
