id,glyph,unicode_version,unicode_emoji_version,word_ids,word_texts
182,🦑,9.0,3.0,[396],"[""dagat""]"
183,⛵,5.2,1.0,[396],"[""dagat""]"
184,🐙,6.0,1.0,[396],"[""dagat""]"
185,💡,6.0,1.0,[398],"[""liwanag""]"
186,🔊,6.0,1.0,"[440,404]","[""maingay"",""ingay""]"
187,🖼️,7.0,1.0,[410],"[""larawan""]"
188,🍎,6.0,1.0,[411],"[""pula""]"
189,🔴,6.0,1.0,[411],"[""pula""]"
190,💭,6.0,1.0,[420],"[""maisip""]"
191,🌏,6.0,1.0,[429],"[""planeta""]"
192,👶,6.0,1.0,[433],"[""sanggol""]"
193,🍼,6.0,1.0,[433],"[""sanggol""]"
194,🏫,6.0,1.0,[435],"[""paaralan""]"
195,🔭,6.0,1.0,[436],"[""gabi""]"
196,🌉,6.0,1.0,"[436,241]","[""gabi"",""bituin""]"
197,🤗,8.0,1.0,[437],"[""masaya""]"
198,🐿️,7.0,1.0,[438],"[""iskuwirel""]"
199,📢,6.0,1.0,[440],"[""maingay""]"
200,🚨,6.0,1.0,[440],"[""maingay""]"
201,💩,6.0,1.0,[441],"[""marumi""]"
202,🍫,6.0,1.0,[443],"[""tsokolate""]"
203,🍪,6.0,1.0,[443],"[""tsokolate""]"
204,🎂,6.0,1.0,[47],"[""kaarawan""]"
205,🐉,6.0,1.0,[444],"[""dragon""]"
206,🥕,9.0,3.0,[448],"[""karot""]"
207,🌐,6.0,1.0,[194],"[""wika""]"
208,🛏️,7.0,1.0,[76],"[""matulog""]"
209,📓,6.0,1.0,[73],"[""magsulat""]"
210,🎲,6.0,1.0,[388],"[""maglaro""]"
211,😄,6.0,1.0,[388],"[""maglaro""]"
