id,content_type,content_license,attribution_url,title,file_size,checksum_md5,cid,download_url,image_format
38,image/jpg,,,storybook-4-ch-2,10979,9daf09769a2e317be51da91b5ff1c8d4,0d45f3055995bfd2181380f3dd9e0d28f98aca53,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/38_r1.jpg,JPG
39,image/jpg,,,storybook-4-ch-3,43752,3ee2cd488db81bbd4d4aee35bddc1695,feb477fb759228522e6a58ed62229f176daaccfb,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/39_r2.jpg,JPG
40,image/jpg,,,storybook-4-ch-4,11292,6ff24742d47b76f0c88a1627c810520b,eee8fec3ba7365d6ad137a8b2a607eab18c0cc6c,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/40_r1.jpg,JPG
41,image/jpg,,,storybook-4-ch-5,36237,defb35e388772d62fa9681701995f515,08ad32ebfd76e4d53baaaabe1890db85864eeedf,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/41_r1.jpg,JPG
42,image/jpg,,,storybook-4-ch-6,11459,19b97fe696fa6181fe2c6e380828e8df,e89ac7ce9cf5d368df8795b8307d30d44ab8db41,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/42_r1.jpg,JPG
43,image/jpg,,,storybook-4-ch-7,31357,fa7c71e74089274e9a0d95696b74782d,7ab3bf6755b2efa5dfff2d5c78a359f3e243b3dc,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/43_r1.jpg,JPG
44,image/jpg,,,storybook-4-ch-8,19084,1a8886a6ef1bd7f56bd7674fdc0566fe,e90dcacbdaf6f5364f8b2475aa33503efb25132f,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/44_r1.jpg,JPG
45,image/jpg,,,storybook-4-ch-9,27592,acc46e9a7014cf01dde5a66022057428,d3fe4dd6eabcb3f09c3a33460b3eab28afaf1eb3,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/45_r1.jpg,JPG
46,image/jpg,,,storybook-4-ch-10,20190,868545163de3b1690b2890d91d84e687,119c4db176b08bbb71b708efdb20dffd543fecd5,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/46_r1.jpg,JPG
47,image/jpg,,,storybook-4-ch-11,33516,cd16887dc477bedf25fcb224c42f879e,57a59e906ad3db7daf7c78cf1f3a8ff8a2057479,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/47_r1.jpg,JPG
48,image/jpg,,,storybook-4-ch-12,29689,4c4041bba1b0601259dff4d0747636df,ad912c774567741468a8b694079420097d3c5795,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/48_r1.jpg,JPG
49,image/jpg,,,storybook-4-ch-13,31346,7dada9978a9a809aa7820e2fcf2631c0,a748ea240ba27abf278c09ead1b8b1d4a8651e1b,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/49_r3.jpg,JPG
50,image/jpg,,,storybook-4-ch-14,26379,9740d2a7a743024a7530e83e7aae3e65,f47af55794c439d23d355ebef90dc43d3ad0e05f,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/50_r2.jpg,JPG
51,image/jpg,,,storybook-4-ch-15,23369,c6da07c0ac67cafbede001eda19f28ee,e21a183640171b01719c486c12eb833825c74538,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/51_r3.jpg,JPG
52,image/jpg,,,storybook-4-ch-16,18105,e26c3033638822f2a147f4dde6acf7f5,e03732c72b9a6cbe7587eeb23006a298b2285f73,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/52_r1.jpg,JPG
53,image/jpg,,,storybook-4-ch-17,18946,35f685100994bba1f8fc17fb138ea832,80956da44404c8fdb878a44ddd651e43b1c94a11,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/53_r3.jpg,JPG
