id,content_type,content_license,attribution_url,title,file_size,checksum_md5,checksum_github,download_url,image_format,dominant_color
1325,image/png,,,सोना की नाक बड़ी तेज_ch-13,18676,3fd8d3525129144a89d777226915cc88,9985f4530ee7e24f7ca3b31b84855c7ef676d9f9,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/3fd8d3525129144a89d777226915cc88.png,PNG,"4,4,4"
1326,image/png,,,सोना की नाक बड़ी तेज_ch-14,18676,3fd8d3525129144a89d777226915cc88,9985f4530ee7e24f7ca3b31b84855c7ef676d9f9,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/3fd8d3525129144a89d777226915cc88.png,PNG,"4,4,4"
1327,image/png,,,सोना की नाक बड़ी तेज_ch-15,18676,3fd8d3525129144a89d777226915cc88,9985f4530ee7e24f7ca3b31b84855c7ef676d9f9,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/3fd8d3525129144a89d777226915cc88.png,PNG,"4,4,4"
1328,image/jpg,,,सैर सपाटा_cover,95853,52cd7497ed74571686ae10f5b2b549a4,f321f8cd8d611eb6ebd5375057c76d150a73c32a,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/52cd7497ed74571686ae10f5b2b549a4.jpg,JPG,"241,176,69"
1329,image/jpg,,,सैर सपाटा_ch-1,95853,52cd7497ed74571686ae10f5b2b549a4,f321f8cd8d611eb6ebd5375057c76d150a73c32a,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/52cd7497ed74571686ae10f5b2b549a4.jpg,JPG,"241,176,69"
1330,image/jpg,,,सैर सपाटा_ch-2,98201,c2e4ede4767de3082906d2925a12ee19,3466c655ec0a03705158539393d434b2b644c56c,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/c2e4ede4767de3082906d2925a12ee19.jpg,JPG,"219,223,214"
1331,image/jpg,,,सैर सपाटा_ch-3,127602,c891d2b2b69b80fd166c55ebc5947532,fe60e296ebdfbcb1460271207d0109bc0d095109,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/c891d2b2b69b80fd166c55ebc5947532.jpg,JPG,"217,182,68"
1332,image/jpg,,,सैर सपाटा_ch-4,72662,9322698aee246e8d86c3ffcadbcfffc3,01a2d09eb3d948e544049112d0598b68a92b3ae9,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/9322698aee246e8d86c3ffcadbcfffc3.jpg,JPG,"239,228,94"
1333,image/jpg,,,सैर सपाटा_ch-5,84259,0bcf0136ecabff80fd3b62c77ddcbaa3,6e7b8466f3e1ee19c80c8afb29ebde9b1f11fda6,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/0bcf0136ecabff80fd3b62c77ddcbaa3.jpg,JPG,"222,233,212"
1334,image/jpg,,,सैर सपाटा_ch-6,88494,2931ce13eea692174d5bb6dad1a241e0,a3543ccd29173606193229c57b9ef3f00fc9e3e2,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/2931ce13eea692174d5bb6dad1a241e0.jpg,JPG,"212,175,51"
1335,image/jpg,,,सैर सपाटा_ch-7,15658,941f95de5f3c41778aa73dbb823801ac,698ef65e57a162190ae44f8853e5e013a7c4344f,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/941f95de5f3c41778aa73dbb823801ac.jpg,JPG,"85,51,31"
1336,image/jpg,,,सैर सपाटा_ch-8,91195,93fae41a6d947398252366a881f8bd59,18d6eafce885b0639d88ab42065126e769217ac9,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/93fae41a6d947398252366a881f8bd59.jpg,JPG,"234,218,191"
1337,image/jpg,,,सैर सपाटा_ch-9,84158,ed86926a4abf3d17fac3721863dcaff6,257df54a3ab40309149ecbb9d9c0cf8d5e03e79b,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/ed86926a4abf3d17fac3721863dcaff6.jpg,JPG,"243,240,221"
1338,image/png,,,सैर सपाटा_ch-10,18676,3fd8d3525129144a89d777226915cc88,9985f4530ee7e24f7ca3b31b84855c7ef676d9f9,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/3fd8d3525129144a89d777226915cc88.png,PNG,"4,4,4"
1339,image/png,,,सैर सपाटा_ch-11,18676,3fd8d3525129144a89d777226915cc88,9985f4530ee7e24f7ca3b31b84855c7ef676d9f9,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/3fd8d3525129144a89d777226915cc88.png,PNG,"4,4,4"
1340,image/jpg,,,सालाना बाल-कटाई दिवस_cover,42813,c020ba938cfd43a378010ca403a8dd30,7868a12ff1b6d43cde6e9106688297308f17ff79,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/c020ba938cfd43a378010ca403a8dd30.jpg,JPG,"29,49,60"
1341,image/jpg,,,सालाना बाल-कटाई दिवस_ch-2,60670,13d34a9b68ba8156ac1dcfe971ed9518,3f3972139c9fc1b05ebecc7428695a6110b5e615,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/13d34a9b68ba8156ac1dcfe971ed9518.jpg,JPG,"32,28,26"
1342,image/jpg,,,सालाना बाल-कटाई दिवस_ch-3,66924,a2981746fad60c0e0d748699dc2db68b,9bceb2de0bfdc522f9251496f13e448ff6cd52f6,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/a2981746fad60c0e0d748699dc2db68b.jpg,JPG,"247,231,109"
1343,image/jpg,,,सालाना बाल-कटाई दिवस_ch-4,58172,fa698761e1b21df76a7a1f26f1220b44,049cfe240751e11ddd62e5935798f1b4004f8c1f,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/fa698761e1b21df76a7a1f26f1220b44.jpg,JPG,"216,237,244"
