id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
35,มา,"[{""sounds"":[""m""],""id"":12,""letters"":[""ม""],""usageCount"":237},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315}]",68,VERB,,,
36,ฉัน,"[{""sounds"":[""tɕʰ""],""id"":44,""letters"":[""ฉ""],""usageCount"":125},{""sounds"":[""a""],""id"":34,""letters"":[""◌ั""],""usageCount"":375},{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395}]",125,PRONOUN,,,
37,จาก,"[{""sounds"":[""tɕ""],""id"":24,""letters"":[""จ""],""usageCount"":109},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250}]",27,PREPOSITION,,,
38,จังหวัด,"[{""sounds"":[""tɕ""],""id"":24,""letters"":[""จ""],""usageCount"":109},{""sounds"":[""a""],""id"":34,""letters"":[""◌ั""],""usageCount"":375},{""sounds"":[""ŋ""],""id"":4,""letters"":[""ง""],""usageCount"":227},{""sounds"":[""w""],""id"":18,""letters"":[""ว""],""usageCount"":94},{""sounds"":[""a""],""id"":34,""letters"":[""◌ั""],""usageCount"":375},{""sounds"":[""t""],""id"":6,""letters"":[""ด""],""usageCount"":7}]",7,NOUN,,,
39,ฟัน,"[{""sounds"":[""f""],""id"":10,""letters"":[""ฟ""],""usageCount"":8},{""sounds"":[""a""],""id"":34,""letters"":[""◌ั""],""usageCount"":375},{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395}]",7,NOUN,,,
40,คุณ,"[{""sounds"":[""kʰ""],""id"":25,""letters"":[""ค""],""usageCount"":32},{""sounds"":[""u""],""id"":46,""letters"":[""◌ุ""],""usageCount"":28},{""sounds"":[""n""],""id"":45,""letters"":[""ณ""],""usageCount"":28}]",28,PRONOUN,,,
41,งู,"[{""sounds"":[""ŋ""],""id"":4,""letters"":[""ง""],""usageCount"":227},{""sounds"":[""uː""],""id"":17,""letters"":[""◌ู""],""usageCount"":56}]",1,NOUN,,,
42,สาม,"[{""sounds"":[""s""],""id"":32,""letters"":[""ส""],""usageCount"":10},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""m""],""id"":12,""letters"":[""ม""],""usageCount"":237}]",4,NUMBER,,,
43,หก,"[{""sounds"":[""h"",""ɔ""],""id"":47,""letters"":[""ห""],""usageCount"":8},{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250}]",8,NUMBER,,,
44,ตา,"[{""sounds"":[""t""],""id"":48,""letters"":[""ต""],""usageCount"":79},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315}]",17,NOUN,,,
45,ผม,"[{""sounds"":[""pʰ"",""o""],""id"":49,""letters"":[""ผ""],""usageCount"":46},{""sounds"":[""m""],""id"":12,""letters"":[""ม""],""usageCount"":237}]",46,NOUN,,,
46,หู,"[{""sounds"":[""h""],""id"":19,""letters"":[""ห""],""usageCount"":10},{""sounds"":[""uː""],""id"":17,""letters"":[""◌ู""],""usageCount"":56}]",3,NOUN,,,
47,ฝน,"[{""sounds"":[""f"",""o""],""id"":50,""letters"":[""ฝ""],""usageCount"":4},{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395}]",4,NOUN,,,
48,ดี,"[{""sounds"":[""d""],""id"":5,""letters"":[""ด""],""usageCount"":46},{""sounds"":[""iː""],""id"":16,""letters"":[""◌ี""],""usageCount"":70}]",21,ADJECTIVE,,,
49,เพลง,"[{""sounds"":[""pʰ""],""id"":21,""letters"":[""พ""],""usageCount"":17},{""sounds"":[""l""],""id"":22,""letters"":[""ล""],""usageCount"":133},{""sounds"":[""eː""],""id"":51,""letters"":[""เ◌""],""usageCount"":20},{""sounds"":[""ŋ""],""id"":4,""letters"":[""ง""],""usageCount"":227}]",15,NOUN,,,
50,เมฆ,"[{""sounds"":[""m""],""id"":12,""letters"":[""ม""],""usageCount"":237},{""sounds"":[""eː""],""id"":51,""letters"":[""เ◌""],""usageCount"":20},{""sounds"":[""k""],""id"":52,""letters"":[""ฆ""],""usageCount"":5}]",5,NOUN,,,
51,ใน,"[{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395},{""sounds"":[""a"",""j""],""id"":53,""letters"":[""ใ◌""],""usageCount"":51}]",51,PREPOSITION,,,
